Sample	raw_total_sequences	reads_mapped	reads_mapped_percent	coverage
ECA1997	34.36	33.88	98.6	27
ECA2041	39.88	39.63	99.4	32
ECA2043	26.4	26.15	99.1	22
ECA2065	28.87	28.64	99.2	23
ECA2067	35.28	35.03	99.3	28
ECA2069	28.88	28.65	99.2	23
ECA2071	28.03	27.84	99.3	23
ECA2073	39.56	39.28	99.3	33
ECA2075	29.58	29.34	99.2	24
ECA2079	20.45	20.26	99.1	17
ECA2081	48.34	47.93	99.2	40
ECA2085	37.56	37.25	99.2	31
ECA2091	109.69	107.5	98	76
ECA2095	40.02	39.23	98	31
ECA2097	29.48	29.02	98.4	19
ECA2099	34.42	34.01	98.8	29
ECA2101	35.84	35.44	98.9	24
ECA2103	40.95	40.5	98.9	27
ECA2107	30.74	30.55	99.4	22
ECA2109	24.72	24.42	98.8	18
ECA2111	39.49	35.27	89.3	26
ECA2117	37.44	37.11	99.1	25
ECA2119	53.52	53.08	99.2	37
ECA2121	34.46	34.07	98.9	22
ECA2122	21.37	21.14	98.9	20
ECA2125	30.36	29.98	98.8	20
ECA2127	51.16	50.69	99.1	33
ECA2131	25.47	25.24	99.1	19
ECA2135	25.81	25.53	98.9	18
ECA2139	23.66	23.4	98.9	16
ECA2143	18.41	18.24	99.1	15
ECA2147	20.61	20.41	99.1	15
ECA2151	50.69	50.13	98.9	36
ECA2155	45.17	44.76	99.1	32
ECA2159	53.85	53.28	98.9	38
ECA2163	21.27	21.04	98.9	16
ECA2167	31.24	30.9	98.9	22
ECA2171	19.3	19.11	99	14
ECA2175	50.26	49.75	99	35
ECA2179	26.8	26.46	98.7	19
ECA2183	21.01	20.77	98.9	16
ECA2187	30.08	29.76	98.9	20
ECA2191	26.44	26	98.3	19
ECA2195	32.39	31.92	98.5	22
ECA2199	24.83	24.47	98.6	18
ECA2203	26.45	26.08	98.6	18
ECA2207	29.12	28.7	98.5	20
ECA2247	30.52	30.28	99.2	26
ECA2249	23.47	23.27	99.1	19
ECA2251	34.95	34.7	99.3	28
ECA2253	23.46	23.25	99.1	20
ECA2255	22.37	22.19	99.2	18
ECA2281	68.17	67.38	98.8	46
ECA2283	19.46	19.22	98.8	14
ECA2285	22.55	22.28	98.8	17
ECA2287	29.28	28.92	98.8	21
ECA2289	18.74	18.55	99	15
ECA2291	31.33	30.98	98.9	24
ECA2307	36.95	36.62	99.1	27
ECA2309	46.13	45.56	98.8	41
ECA2311	48.02	47.4	98.7	42
ECA2313	18.29	18.09	98.9	14
ECA2315	24.06	23.79	98.9	18
ECA2319	35.25	34.89	99	24
ECA2321	64.49	63.5	98.5	59
ECA2322	20.11	19.96	99.3	17
ECA2324	35.18	34.88	99.2	29
ECA2326	28.47	28.27	99.3	24
ECA2328	30.68	30.46	99.3	24
ECA2330	19.7	19.54	99.2	17
ECA2332	34.54	34.32	99.4	29
ECA2334	30.93	30.5	98.6	25
ECA2336	43.73	43.17	98.7	30
ECA2338	34.11	33.65	98.7	28
ECA2340	26.5	26.09	98.5	20
ECA2342	28.44	28.25	99.3	23
ECA2344	52.88	52.03	98.4	42
ECA2348	29.89	29.64	99.2	24
ECA2350	31.93	31.69	99.3	26
ECA2352	23.13	22.99	99.4	20
ECA2354	27.09	26.81	99	22
ECA2356	22.57	22.35	99	19
ECA2358	30.05	29.79	99.1	26
ECA2360	23.67	23.48	99.2	18
ECA2362	41.48	41.09	99	33
ECA2365	38.08	37.76	99.2	26
ECA2367	27.95	27.68	99	18
ECA2375	32.56	31.87	97.9	22
ECA2377	34.27	33.74	98.5	24
ECA2401	38.36	27.45	71.6	20
ECA2403	31.99	31.6	98.8	23
ECA2405	30.72	30.35	98.8	20
ECA2413	33.7	33.17	98.4	25
ECA2415	35.42	34.88	98.5	24
ECA2417	59.72	58.78	98.4	41
ECA2419	41.51	41.13	99.1	30
ECA2421	36.47	34.2	93.8	24
ECA2423	40.92	40.54	99.1	30
ECA2429	36.87	34.94	94.8	23
ECA243	78.84	77.43	98.2	56
ECA2431	91.41	90.75	99.3	64
ECA2433	24.48	24.21	98.9	19
ECA2435	85.25	84.55	99.2	59
ECA2437	38.05	37.81	99.4	34
ECA2439	18.27	18.05	98.8	14
ECA2443	40.17	39.78	99	30
ECA2445	26.38	25.98	98.5	20
ECA245	50.76	50.35	99.2	39
ECA2452	19.97	19.75	98.9	18
ECA246	54.9	54.44	99.2	44
ECA2467	35.19	34.75	98.7	25
ECA2473	78.61	78.1	99.4	57
ECA2475	80.55	79.95	99.3	59
ECA2477	47.36	40.88	86.3	37
ECA2479	49.44	49.05	99.2	45
ECA248	44.84	44.46	99.2	31
ECA2481	55.95	55.53	99.2	52
ECA2482	26.64	23.83	89.4	22
ECA2485	43.81	43	98.2	40
ECA2487	39.67	39.07	98.5	36
ECA2489	109.1	108.41	99.4	76
ECA249	66.66	66.13	99.2	51
ECA250	46.35	45.96	99.2	34
ECA251	84.22	83.46	99.1	66
ECA2521	23.71	23.58	99.5	16
ECA2522	26.61	26.48	99.5	20
ECA2523	24.25	24.11	99.4	18
ECA2524	20.77	20.65	99.4	15
ECA2525	24.09	23.94	99.4	17
ECA2526	29.88	29.77	99.6	21
ECA2527	25.85	25.71	99.5	19
ECA2528	25.23	25.1	99.5	17
ECA2529	34.67	34.53	99.6	25
ECA253	46.8	46.77	99.9	35
ECA2532	26.5	26.36	99.5	19
ECA2533	42.83	42.6	99.5	30
ECA2534	26.57	26.42	99.5	19
ECA2535	35.2	35.07	99.6	25
ECA2536	40.01	39.85	99.6	28
ECA2537	31.59	31.41	99.5	22
ECA254	19.46	18.64	95.8	13
ECA2546	31.92	31.78	99.6	23
ECA2547	25.6	24.46	95.6	18
ECA2548	22.14	22.06	99.6	16
ECA2549	45.72	45.61	99.8	32
ECA2550	26.11	26.02	99.6	19
ECA2551	30.32	30.21	99.6	22
ECA2552	26.24	26.15	99.7	19
ECA2553	25.44	25.31	99.5	18
ECA2554	22.03	21.98	99.8	16
ECA2555	22.89	22.81	99.7	16
ECA2556	29.37	29.29	99.7	20
ECA2557	25.88	25.76	99.6	19
ECA2558	19.47	19.37	99.5	14
ECA2559	29.9	29.81	99.7	21
ECA2560	28.89	28.33	98.1	22
ECA2561	27.34	27.19	99.5	20
ECA2562	33.27	33.2	99.8	24
ECA2563	26.81	26.76	99.8	20
ECA2564	33.7	33.63	99.8	24
ECA2565	35.1	35.04	99.8	26
ECA2566	31.11	31.05	99.8	23
ECA2567	26.82	26.77	99.8	19
ECA2568	20.59	20.55	99.8	15
ECA2569	22.35	21.56	96.5	16
ECA2570	19.35	19.24	99.4	15
ECA2571	21.59	21.44	99.3	16
ECA2572	26.07	25.89	99.3	18
ECA2573	29.06	28.87	99.3	20
ECA2574	26.05	26	99.8	18
ECA2575	18.3	18.27	99.8	14
ECA2576	27.57	27.42	99.5	20
ECA2577	29.21	29.15	99.8	21
ECA2578	25.37	25.33	99.8	18
ECA2579	22.67	22.53	99.4	17
ECA2580	50.97	50.65	99.4	46
ECA2581	33.08	32.86	99.3	23
ECA2582	26.48	24.66	93.2	18
ECA2583	50.43	50.15	99.4	45
ECA2584	31.33	31.21	99.6	22
ECA2585	30.39	30.26	99.6	22
ECA2586	28.72	28.57	99.5	20
ECA2589	24.69	24.6	99.6	17
ECA259	46.64	46.24	99.1	36
ECA2590	35.83	35.53	99.2	29
ECA2591	25.36	25.29	99.7	19
ECA2592	28.96	28.87	99.7	21
ECA2593	21.94	21.79	99.3	15
ECA2594	34.88	34.78	99.7	24
ECA2595	25.82	25.64	99.3	19
ECA2596	25.75	25.66	99.6	19
ECA2597	19.29	19.18	99.5	14
ECA2598	26.18	26.11	99.7	19
ECA2599	30.18	29.94	99.2	24
ECA2600	20.03	19.88	99.2	17
ECA2601	66.64	66.12	99.2	53
ECA2602	30.93	30.84	99.7	22
ECA2603	34.95	34.8	99.6	24
ECA2605	33.47	33.23	99.3	28
ECA2606	42.01	41.84	99.6	34
ECA2607	37.32	37.2	99.7	32
ECA2608	39.1	38.9	99.5	31
ECA2609	37.79	37.66	99.7	27
ECA2610	34.27	34.14	99.6	25
ECA2611	33.21	32.93	99.2	28
ECA2612	37.29	37.01	99.2	29
ECA2615	28.81	28.74	99.8	21
ECA2641	55.06	54.86	99.6	36
ECA2642	39.99	39.84	99.6	27
ECA2643	29.1	28.95	99.5	24
ECA2644	26.72	23.1	86.4	18
ECA2648	37.1	36.97	99.6	31
ECA2649	26.62	26.49	99.5	22
ECA2650	21.3	21.25	99.7	18
ECA2651	22.01	21.86	99.3	19
ECA2652	30.01	29.88	99.6	25
ECA2653	20.07	19.91	99.2	16
ECA2654	30.64	30.52	99.6	26
ECA2656	28.84	28.74	99.7	25
ECA2657	26.4	26.25	99.4	23
ECA2658	26.37	26.18	99.3	23
ECA2659	37.98	37.67	99.2	31
ECA2660	29.73	29.54	99.4	21
ECA2672	36.39	36.26	99.6	26
ECA2673	22.41	22.33	99.6	15
ECA2674	25.84	25.75	99.6	19
ECA2675	20.78	20.71	99.7	16
ECA2676	29.62	29.48	99.5	21
ECA347	42.94	42.22	98.3	43
ECA348	51.96	49.24	94.8	50
ECA349	42.7	42.21	98.9	38
ECA350	20.28	20.13	99.3	23
ECA36	41.14	40.31	98	32
ECA363	54.68	52.7	96.4	47
ECA369	24.47	24.09	98.4	27
ECA372	54.51	53.32	97.8	48
ECA393	29.48	29.25	99.2	33
ECA394	48.8	48.25	98.9	48
ECA395	22.6	22.27	98.6	25
ECA396	38.15	37.72	98.9	40
ECA397	34.03	33.64	98.9	37
ECA398	25.13	24.84	98.8	28
ECA399	37.35	36.84	98.6	39
ECA551	38.44	38.11	99.1	16
ECA552	71.03	70.54	99.3	47
ECA571	85.16	84.55	99.3	56
ECA572	68.45	67.98	99.3	47
ECA589	86.18	85.62	99.4	72
ECA592	68.17	67.15	98.5	45
ECA593	66.84	65.76	98.4	45
ECA594	75.56	74.35	98.4	47
ECA615	26.17	25.95	99.2	29
ECA616	57.6	57.09	99.1	51
ECA640	40.15	39.87	99.3	38
ECA694	25.35	25.21	99.4	22
ECA695	16.01	15.91	99.4	15
ECA701	31.34	30.5	97.3	30
ECA702	31.45	30.15	95.8	29
ECA703	30.75	30.46	99	29
ECA704	29.77	29.5	99.1	30
ECA705	37.11	36.71	98.9	36
ECA706	35.66	35.23	98.8	35
ECA707	34.55	34.22	99.1	33
ECA708	31.64	31.3	98.9	31
ECA709	37.15	36.79	99	36
ECA710	39.82	39.39	98.9	38
ECA711	31.56	31.27	99.1	31
ECA712	36.82	36.43	98.9	35
ECA713	28.33	28.08	99.1	27
ECA714	31.07	30.79	99.1	31
ECA715	36	35.63	99	35
ECA716	35.12	34.75	98.9	34
ECA717	36.01	33.76	93.8	33
ECA718	36.45	33.05	90.7	32
ECA719	31.7	31.38	99	31
ECA720	35.44	35.08	99	34
ECA721	34.17	27.31	79.9	26
ECA722	41.19	39.92	96.9	38
ECA723	41.39	40.28	97.3	38
ECA724	36.54	34.78	95.2	34
ECA725	29.81	28.95	97.1	29
ECA726	31.39	31.01	98.8	30
ECA727	31.84	31.4	98.6	32
ECA728	32.6	32.19	98.7	31
ECA729	39.47	38.73	98.1	37
ECA730	32.91	32.48	98.7	31
ECA731	35.23	34	96.5	33
ECA732	32.98	32.19	97.6	32
ECA733	35.52	35.15	99	34
ECA734	33.04	32.75	99.1	32
ECA735	28.82	28.53	99	29
ECA736	30.91	30.52	98.8	30
ECA737	34.95	34.56	98.9	34
ECA738	38.14	37.69	98.8	36
ECA739	37.61	37.18	98.9	37
ECA740	44.07	33.47	75.9	31
ECA741	34.31	33.8	98.5	33
ECA742	38.53	37.96	98.5	36
ECA743	33.26	32.89	98.9	33
ECA744	30.33	29.98	98.9	30
ECA745	44.64	44.06	98.7	41
ECA746	35.24	34.76	98.7	35
ECA747	30.65	30.28	98.8	30
ECA748	37.95	37.6	99.1	36
ECA749	33.67	33.29	98.9	33
ECA750	35.33	34.96	99	34
ECA751	34.43	33.97	98.7	34
ECA752	36.58	36.26	99.1	35
ECA753	32.04	31.5	98.3	31
ECA754	36.14	34.19	94.6	33
ECA755	32.14	31.43	97.8	31
ECA756	35.89	27.95	77.9	27
ECA757	35.02	34.7	99.1	34
ECA758	38.34	34.54	90.1	33
ECA759	32.53	31.89	98	32
ECA760	39.69	39.23	98.8	38
ECA761	37.64	36.23	96.3	36
ECA762	39.52	39.12	99	37
ECA763	34.09	33.85	99.3	33
ECA764	33.11	32.63	98.5	32
ECA765	35.73	33.77	94.5	34
ECA766	32.3	31.3	96.9	31
ECA767	33.78	30.48	90.2	30
ECA768	38.01	33.88	89.1	32
ECA769	38.12	37.08	97.3	36
ECA770	34.74	30.7	88.3	30
ECA771	35.56	32.02	90	32
ECA772	35.45	32.82	92.6	31
ECA773	34.39	32.79	95.4	32
ECA774	40.99	34.65	84.5	34
ECA775	35.6	34.16	96	34
ECA776	41.29	40.87	99	39
ECA777	35.67	34.98	98.1	35
ECA778	47.44	46.51	98.1	43
ECA779	29.92	23.09	77.2	23
ECA780	38.48	37.79	98.2	37
ECA781	44.06	43.25	98.1	41
ECA782	36.31	35.7	98.3	35
ECA783	36.11	35.68	98.8	35
ECA784	33.96	32.87	96.8	33
ECA785	33.3	32.99	99.1	33
ECA786	44.49	44	98.9	42
ECA787	40.38	35.78	88.6	35
ECA807	35.13	34.8	99.1	34
ECA808	35.01	34.71	99.2	34
ECA809	38.15	37.76	99	38
ECA810	33.66	33.29	98.9	33
ECA811	37.5	36.79	98.1	35
ECA812	44.31	43.89	99	42
ECA813	38.79	38.36	98.9	37
ECA822	32.76	31.37	95.8	31
ECA922	29.88	29.65	99.2	31
ECA923	35.87	35.59	99.2	37
ECA924	23.93	23.77	99.3	26
ECA925	27.63	27.4	99.1	30
ECA926	28.25	27.76	98.3	29
ECA927	26.66	26.4	99.1	29
ECA928	28.48	28.29	99.3	30
ECA930	28.07	27.88	99.3	30
ED3005	80.67	79.87	99	58
ED3011	60.19	59.48	98.8	45
ED3012	37.73	37.58	99.6	29
ED3017	63.11	62.64	99.3	47
ED3040	66.61	66.25	99.5	49
ED3046	66.63	65.98	99	50
ED3048	66.87	66.53	99.5	49
ED3049	60.54	58.08	95.9	47
ED3052	68.74	68.19	99.2	53
ED3073	73.77	73.26	99.3	53
ED3077	66.69	66.22	99.3	51
EG4347	57.15	56.92	99.6	43
