strain	longitude	latitude	isolation	location
MY2689	10.11505	54.3491	chilopod	Botanical garden, Kiel, Germany
MY2691	10.11505	54.3491	isopod	Botanical garden, Kiel, Germany
MY2692	10.11505	54.3491	isopod	Botanical garden, Kiel, Germany
MY2693	10.11505	54.3491	slug	Botanical garden, Kiel, Germany
MY2713	10.11505	54.3491	isopod Oniscus asellus	Botanical garden, Kiel, Germany
MY2719	10.11505	54.3491	chilopod	Botanical garden, Kiel, Germany
MY2741	10.11505	54.3491	slug	Botanical garden, Kiel, Germany
MY508	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY518	7.611719	51.964154	compost heap	Botanical garden, Muenster, Nordrhein-Westfalen, Germany
MY524	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY538	10.117737	54.346355	brown slug	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY559	7.599099	51.950723	brown slug	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY561	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY564	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY570	7.536628	51.950777	brown slug	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY579	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY589	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY673	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY679	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY684	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY710	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY713	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY741	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY772	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY795	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY803	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY804	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY819	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY864	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY881	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY882	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY887	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY904	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY920	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY934	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY965	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY990	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY991	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY792	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2050	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2051	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2623	10.11505	54.3491	slug	Botanical garden, Kiel, Germany
MY2649	10.11505	54.3491	myriapod	Botanical garden, Kiel, Germany
MY2681	10.11505	54.3491	myriapod	Botanical garden, Kiel, Germany
